time_id,full_date,hour,day,month,quarter,year,weekday
TIME000001,2025-07-01 08:00:00,8,1,7,3,2025,Tuesday
TIME000002,2025-07-01 08:05:00,8,1,7,3,2025,Tuesday
TIME000003,2025-07-01 08:10:00,8,1,7,3,2025,Tuesday
TIME000004,2025-07-01 08:15:00,8,1,7,3,2025,Tuesday
TIME000005,2025-07-01 08:20:00,8,1,7,3,2025,Tuesday
TIME000006,2025-07-01 08:25:00,8,1,7,3,2025,Tuesday
TIME000007,2025-07-01 08:30:00,8,1,7,3,2025,Tuesday
TIME000008,2025-07-01 08:35:00,8,1,7,3,2025,Tuesday
TIME000009,2025-07-01 08:40:00,8,1,7,3,2025,Tuesday
TIME000010,2025-07-01 08:45:00,8,1,7,3,2025,Tuesday
TIME000011,2025-07-01 08:50:00,8,1,7,3,2025,Tuesday
TIME000012,2025-07-01 08:55:00,8,1,7,3,2025,Tuesday
TIME000013,2025-07-01 09:00:00,9,1,7,3,2025,Tuesday
TIME000014,2025-07-01 09:05:00,9,1,7,3,2025,Tuesday
TIME000015,2025-07-01 09:10:00,9,1,7,3,2025,Tuesday
TIME000016,2025-07-01 09:15:00,9,1,7,3,2025,Tuesday
TIME000017,2025-07-01 09:20:00,9,1,7,3,2025,Tuesday
TIME000018,2025-07-01 09:25:00,9,1,7,3,2025,Tuesday
TIME000019,2025-07-01 09:30:00,9,1,7,3,2025,Tuesday
TIME000020,2025-07-01 09:35:00,9,1,7,3,2025,Tuesday
TIME000021,2025-07-01 09:40:00,9,1,7,3,2025,Tuesday
TIME000022,2025-07-01 09:45:00,9,1,7,3,2025,Tuesday
TIME000023,2025-07-01 09:50:00,9,1,7,3,2025,Tuesday
TIME000024,2025-07-01 09:55:00,9,1,7,3,2025,Tuesday
TIME000025,2025-07-01 10:00:00,10,1,7,3,2025,Tuesday
TIME000026,2025-07-01 10:05:00,10,1,7,3,2025,Tuesday
TIME000027,2025-07-01 10:10:00,10,1,7,3,2025,Tuesday
TIME000028,2025-07-01 10:15:00,10,1,7,3,2025,Tuesday
TIME000029,2025-07-01 10:20:00,10,1,7,3,2025,Tuesday
TIME000030,2025-07-01 10:25:00,10,1,7,3,2025,Tuesday
TIME000031,2025-07-01 10:30:00,10,1,7,3,2025,Tuesday
TIME000032,2025-07-01 10:35:00,10,1,7,3,2025,Tuesday
TIME000033,2025-07-01 10:40:00,10,1,7,3,2025,Tuesday
TIME000034,2025-07-01 10:45:00,10,1,7,3,2025,Tuesday
TIME000035,2025-07-01 10:50:00,10,1,7,3,2025,Tuesday
TIME000036,2025-07-01 10:55:00,10,1,7,3,2025,Tuesday
TIME000037,2025-07-01 11:00:00,11,1,7,3,2025,Tuesday
TIME000038,2025-07-01 11:05:00,11,1,7,3,2025,Tuesday
TIME000039,2025-07-01 11:10:00,11,1,7,3,2025,Tuesday
TIME000040,2025-07-01 11:15:00,11,1,7,3,2025,Tuesday
TIME000041,2025-07-01 11:20:00,11,1,7,3,2025,Tuesday
TIME000042,2025-07-01 11:25:00,11,1,7,3,2025,Tuesday
TIME000043,2025-07-01 11:30:00,11,1,7,3,2025,Tuesday
TIME000044,2025-07-01 11:35:00,11,1,7,3,2025,Tuesday
TIME000045,2025-07-01 11:40:00,11,1,7,3,2025,Tuesday
TIME000046,2025-07-01 11:45:00,11,1,7,3,2025,Tuesday
TIME000047,2025-07-01 11:50:00,11,1,7,3,2025,Tuesday
TIME000048,2025-07-01 11:55:00,11,1,7,3,2025,Tuesday
TIME000049,2025-07-01 12:00:00,12,1,7,3,2025,Tuesday
TIME000050,2025-07-01 12:05:00,12,1,7,3,2025,Tuesday
TIME000051,2025-07-01 12:10:00,12,1,7,3,2025,Tuesday
TIME000052,2025-07-01 12:15:00,12,1,7,3,2025,Tuesday
TIME000053,2025-07-01 12:20:00,12,1,7,3,2025,Tuesday
TIME000054,2025-07-01 12:25:00,12,1,7,3,2025,Tuesday
TIME000055,2025-07-01 12:30:00,12,1,7,3,2025,Tuesday
TIME000056,2025-07-01 12:35:00,12,1,7,3,2025,Tuesday
TIME000057,2025-07-01 12:40:00,12,1,7,3,2025,Tuesday
TIME000058,2025-07-01 12:45:00,12,1,7,3,2025,Tuesday
TIME000059,2025-07-01 12:50:00,12,1,7,3,2025,Tuesday
TIME000060,2025-07-01 12:55:00,12,1,7,3,2025,Tuesday
TIME000061,2025-07-01 13:00:00,13,1,7,3,2025,Tuesday
TIME000062,2025-07-01 13:05:00,13,1,7,3,2025,Tuesday
TIME000063,2025-07-01 13:10:00,13,1,7,3,2025,Tuesday
TIME000064,2025-07-01 13:15:00,13,1,7,3,2025,Tuesday
TIME000065,2025-07-01 13:20:00,13,1,7,3,2025,Tuesday
TIME000066,2025-07-01 13:25:00,13,1,7,3,2025,Tuesday
TIME000067,2025-07-01 13:30:00,13,1,7,3,2025,Tuesday
TIME000068,2025-07-01 13:35:00,13,1,7,3,2025,Tuesday
TIME000069,2025-07-01 13:40:00,13,1,7,3,2025,Tuesday
TIME000070,2025-07-01 13:45:00,13,1,7,3,2025,Tuesday
TIME000071,2025-07-01 13:50:00,13,1,7,3,2025,Tuesday
TIME000072,2025-07-01 13:55:00,13,1,7,3,2025,Tuesday
TIME000073,2025-07-01 14:00:00,14,1,7,3,2025,Tuesday
TIME000074,2025-07-01 14:05:00,14,1,7,3,2025,Tuesday
TIME000075,2025-07-01 14:10:00,14,1,7,3,2025,Tuesday
TIME000076,2025-07-01 14:15:00,14,1,7,3,2025,Tuesday
TIME000077,2025-07-01 14:20:00,14,1,7,3,2025,Tuesday
TIME000078,2025-07-01 14:25:00,14,1,7,3,2025,Tuesday
TIME000079,2025-07-01 14:30:00,14,1,7,3,2025,Tuesday
TIME000080,2025-07-01 14:35:00,14,1,7,3,2025,Tuesday
TIME000081,2025-07-01 14:40:00,14,1,7,3,2025,Tuesday
TIME000082,2025-07-01 14:45:00,14,1,7,3,2025,Tuesday
TIME000083,2025-07-01 14:50:00,14,1,7,3,2025,Tuesday
TIME000084,2025-07-01 14:55:00,14,1,7,3,2025,Tuesday
TIME000085,2025-07-01 15:00:00,15,1,7,3,2025,Tuesday
TIME000086,2025-07-01 15:05:00,15,1,7,3,2025,Tuesday
TIME000087,2025-07-01 15:10:00,15,1,7,3,2025,Tuesday
TIME000088,2025-07-01 15:15:00,15,1,7,3,2025,Tuesday
TIME000089,2025-07-01 15:20:00,15,1,7,3,2025,Tuesday
TIME000090,2025-07-01 15:25:00,15,1,7,3,2025,Tuesday
TIME000091,2025-07-01 15:30:00,15,1,7,3,2025,Tuesday
TIME000092,2025-07-01 15:35:00,15,1,7,3,2025,Tuesday
TIME000093,2025-07-01 15:40:00,15,1,7,3,2025,Tuesday
TIME000094,2025-07-01 15:45:00,15,1,7,3,2025,Tuesday
TIME000095,2025-07-01 15:50:00,15,1,7,3,2025,Tuesday
TIME000096,2025-07-01 15:55:00,15,1,7,3,2025,Tuesday
TIME000097,2025-07-01 16:00:00,16,1,7,3,2025,Tuesday
TIME000098,2025-07-01 16:05:00,16,1,7,3,2025,Tuesday
TIME000099,2025-07-01 16:10:00,16,1,7,3,2025,Tuesday
TIME000100,2025-07-01 16:15:00,16,1,7,3,2025,Tuesday
